application_id,age,gender,education,marital_status,dependents,employment_type,employment_length_years,occupation,annual_income,monthly_income,credit_score,existing_loans,total_existing_debt,credit_history_length_years,num_credit_inquiries_6m,delinquent_accounts,loan_amount,loan_term_months,loan_purpose,interest_rate,debt_to_income_ratio,loan_to_income_ratio,monthly_payment,payment_to_income_ratio,property_value,property_type,bank_customer_years,savings_account_balance,checking_account_balance,loan_default
20012,21,Male,Bachelor,Single,0,Salaried,8.1,Service,57667.02,4805.58,623,0,2075.13,27.6,2,1,34941.57,48,Debt Consolidation,18.82,0.036,0.606,1041.44,0.217,50000.0,Apartment,7.6,1252.15,1154.49,1
20013,21,Male,Bachelor,Married,3,Salaried,5.5,Service,90762.9,7563.58,592,4,8746.36,4.0,0,0,64356.73,36,Home Improvement,19.46,0.096,0.709,2374.06,0.314,307217.47,None,3.4,2692.89,203.08,0
20014,51,Male,Bachelor,Single,0,Self-Employed,3.7,Manager,445271.43,37105.95,781,2,41827.45,5.3,1,0,16552.53,36,Home Improvement,20.7,0.094,0.037,621.07,0.017,132799.82,House,0.3,641.89,3081.59,0
20015,54,Male,Master,Single,2,Salaried,3.8,Other,51809.15,4317.43,675,1,149241.59,2.4,1,0,9721.16,36,Home Improvement,15.66,2.0,0.188,340.14,0.079,50000.0,Apartment,0.6,,996.95,1
20016,24,Male,Bachelor,married,0,Salaried,3.8,Other,80015.4,6667.95,719,1,200000.0,18.9,0,1,10879.78,24,Home Improvement,8.25,2.0,0.136,493.3,0.074,143563.17,None,,13409.07,3217.73,0
20017,43,Male,High School,Married,4,Salaried,2.2,Clerical,28285.59,2357.13,711,2,3379.21,1.8,0,0,24021.16,48,Business,7.3,0.119,0.849,578.57,0.245,193315.06,Condo,5.4,2553.12,67.09,0
20018,41,Female,Bachelor,Married,1,Salaried,2.7,Sales,40418.89,3368.24,578,3,4591.94,4.9,1,0,34550.84,36,Home Improvement,16.96,0.114,0.855,1231.14,0.366,299565.47,House,7.1,2614.21,3259.68,0
20019,42,Male,Bachelor,Married,1,Self-Employed,5.6,Sales,69895.9,5824.66,716,0,963.45,15.7,1,0,36492.72,36,Business,19.89,0.014,0.522,1354.16,0.232,284698.0,None,13.3,,501.96,0
20020,55,Female,Bachelor,Divorced,4,Unemployed,1.0,Sales,38905.48,3242.12,656,2,1778.55,2.1,2,0,36706.88,12,Debt Consolidation,10.91,0.046,0.943,3242.67,1.0,574089.02,House,12.9,,857.81,0
20021,43,Male,Bachelor,Married,1,Self-Employed,13.7,Service,22860.15,1905.01,832,4,3645.95,2.7,1,0,134645.82901135148,36,Business,22.8,0.159,1.948,1719.26,0.902,154597.1,House,2.8,17349.24,1454.78,0
20022,52,M,Bachelor,Single,0,Self-Employed,9.5,Other,51916.61,4326.38,710,1,5006.44,2.1,1,0,42830.55,48,Home Improvement,7.47,0.096,0.825,1035.0,0.239,393381.91,House,,5169.5,2075.93,0
20023,31,Female,Master,Single,0,Self-Employed,4.5,Technician,33266.11,2772.18,750,3,6463.87,,3,1,49579.0,48,Other,15.17,0.194,1.49,1384.1,0.499,107024.85,Apartment,18.7,376.91,59.22,0
20024,24,Male,High School,Married,1,Contract,2.7,Sales,187325.54,15610.46,708,0,190094.66,7.5,1,0,15139.87,12,Home Improvement,5.11,1.015,0.081,1296.85,0.083,59508.13,Apartment,4.4,522.62,10420.04,1
20025,43,Male,Master,Married,1,Salaried,10.0,Technician,26377.43,2198.12,667,0,396.6,3.7,0,1,27437.42,48,Debt Consolidation,13.84,0.015,1.04,747.57,0.34,79837.24,Apartment,0.1,181.12,934.23,0
20026,29,Female,Master,Married,1,Salaried,5.6,Sales,119596.86,9966.41,650,0,14979.55,4.4,1,1,15342.82,12,Business,22.14,0.125,0.128,1437.04,0.144,117170.47,Condo,,15198.62,265.32,0
20027,34,Male,Bachelor,Divorced,3,Salaried,9.3,Service,39989.97,3332.5,586,1,63213.6,6.0,2,1,23269.01,12,Home Improvement,5.12,1.581,0.582,1993.28,0.598,,Apartment,8.0,,584.46,0
20028,40,F,High School,Married,0,Salaried,2.5,Service,122547.87,10212.32,705,2,2610.18,1.0,2,0,61588.29,48,Medical,20.79,0.021,0.503,1900.17,0.186,,Apartment,4.6,1537.61,17.76,0
20029,35,Male,High School,single,1,Salaried,9.3,Manager,114513.87,9542.82,760,2,14315.19,30.0,1,2,85910.65,24,Debt Consolidation,18.17,0.125,0.75,4296.07,0.45,119908.85,House,1.1,3376.01,23177.74,0
20030,40,M,High School,Single,0,Contract,0.2,Other,63195.19,5266.27,589,2,7705.68,2.2,0,0,11045.37,60,Medical,7.83,0.122,0.175,223.06,0.042,84743.39,None,12.2,162.45,17.69,0
20031,54,Female,High School,Single,1,Salaried,0.4,Service,429865.72,35822.14,691,3,15904.54,4.4,2,0,17723.58,48,Education,7.78,0.037,0.041,430.86,0.012,335383.6,Apartment,6.9,3102.17,622.44,0
20032,21,Female,High School,Divorced,3,Salaried,13.1,Technician,39280.98,3273.42,679,2,2460.8,6.9,0,0,17348.32,48,Medical,17.27,0.063,0.442,503.01,0.154,156255.65,Condo,5.9,2796.5,367.11,0
20033,43,Female,Bachelor,Single,3,Salaried,2.6,Manager,31292.7,2607.72,728,2,59792.33,7.4,0,1,9545.36,48,Other,6.95,1.911,0.305,228.35,0.088,62853.25,Condo,23.5,8243.83,5713.96,0
20034,34,Female,Bachelor,Single,0,Self-Employed,16.4,Clerical,81350.66,6779.22,706,1,22063.0,3.3,1,0,15798.13,24,Other,20.61,0.271,0.194,808.77,0.119,132286.38,Condo,4.1,29278.6,1420.69,0
20035,52,Female,Bachelor,Single,0,Salaried,6.1,Professional,36943.05,3078.59,665,0,18824.58,11.6,1,0,21253.54,36,Home Improvement,5.35,0.51,0.575,640.33,0.208,78503.63,House,2.3,436.63,523.33,0
20036,48,Female,Bachelor,Divorced,1,Salaried,4.5,Sales,29736.02,2478.0,622,1,9234.02,24.8,1,0,11730.94,36,Debt Consolidation,10.86,0.311,0.395,383.28,0.155,94733.6,Condo,3.1,20.46,550.94,0
20037,37,Female,Master,Single,1,Salaried,2.8,Technician,72754.09,6062.84,712,1,37892.31,2.0,0,1,42557.46,24,Debt Consolidation,17.53,0.521,0.585,2114.99,0.349,182063.23,Condo,17.0,21252.7,70.84,0
20038,21,Male,Bachelor,Single,0,Salaried,13.1,Service,20000.0,1666.67,731,1,59762.07,2.8,0,0,26317.27,48,Debt Consolidation,10.42,2.0,1.316,672.79,0.404,96761.51,House,20.6,,789.23,1
20039,41,Female,High School,Divorced,4,Self-Employed,7.3,Clerical,23525.69,1960.47,639,0,4287.55,2.6,0,1,11839.77,48,Debt Consolidation,7.26,0.182,0.503,284.95,0.145,,House,,318.19,1237.3,0
20040,24,Female,High School,Divorced,2,Salaried,3.1,Professional,113350.11,9445.84,660,1,3989.31,4.5,0,2,81738.7,36,Other,7.63,0.035,0.721,2547.46,0.27,141590.45,House,1.0,100000.0,119.92,0
20041,33,Female,Bachelor,Single,0,Salaried,1.9,Sales,54019.16,4501.6,601,1,1310.82,9.4,0,0,40971.84,48,Other,15.07,0.024,0.758,1141.73,0.254,258896.33,House,0.2,54862.8,189.57,0
20042,36,Male,PhD,Married,0,Contract,3.9,Sales,60668.36,5055.7,619,2,2467.22,1.0,2,1,13365.17,48,Debt Consolidation,18.5,0.041,0.22,396.1,0.078,141864.73,Apartment,5.9,,422.24,0
20043,59,Female,Bachelor,Married,3,Salaried,5.0,Sales,75788.77,6315.73,623,3,13621.61,1.0,1,0,7960.65,36,Education,19.06,0.18,0.105,292.05,0.046,95164.81,House,2.1,853.04,50000.0,0
20044,49,Female,High School,Married,2,Self-Employed,4.7,Service,230171.47608021542,3699.5,677,2,10426.85,4.2,0,1,14991.4,36,Medical,14.65,0.235,0.338,517.12,0.14,258166.17,Condo,18.9,865.8,729.04,1
20045,37,Female,Bachelor,Single,1,Salaried,4.3,Sales,20000.0,1666.67,715,0,5155.79,17.8,2,1,26961.34,48,Debt Consolidation,19.81,0.258,1.348,817.72,0.491,88304.41,House,7.3,1411.4,253.09,0
20046,21,Male,Master,Divorced,0,Salaried,2.1,Professional,33602.21,2800.18,767,5,457.8,6.1,0,1,33018.26,60,Debt Consolidation,15.34,0.014,0.983,791.41,0.283,157564.32,Apartment,2.6,,1171.98,0
20047,33,M,High School,Single,1,Salaried,,Clerical,22238.43,1853.2,730,0,2446.89,9.3,3,1,34311.85,36,Debt Consolidation,18.13,0.11,1.543,1242.69,0.671,68752.85,Condo,9.1,35726.08,4157.56,0
20048,21,Male,Bachelor,Divorced,4,Salaried,,Other,582168.2324692926,2685.72,777,0,14166.98,9.2,0,0,5268.05,36,Debt Consolidation,9.64,0.44,0.163,169.1,0.063,157008.16,Apartment,0.9,8825.22,805.17,0
20049,38,Male,bachelor,Married,1,Unemployed,1.5,Technician,92520.45,7710.04,600,3,8449.19,2.9,0,0,88913.42,36,Debt Consolidation,15.67,0.091,0.961,3111.47,0.404,81516.52,Condo,1.0,5958.63,9220.14,0
20050,42,Male,Bachelor,Married,1,Self-Employed,5.2,Clerical,73683.74,6140.31,600,1,1216.2,8.0,2,1,11588.34,24,Debt Consolidation,24.71,0.017,0.157,616.8,0.1,166093.19,House,1.3,92.89,120.74,0
20051,38,Female,High School,Single,1,Self-Employed,12.6,Professional,191636.52,15969.71,642,2,4681.54,1.8,2,1,13598.92,24,Debt Consolidation,12.72,0.024,0.071,644.73,0.04,106892.03,House,7.2,7498.39,480.65,0
20052,23,Male,PhD,Married,1,Salaried,6.9,Technician,275715.91594801465,8363.72,617,1,1361.79,13.1,0,1,29006.23,36,Home Improvement,14.22,0.014,0.289,994.47,0.119,93909.5,House,2.4,10945.18,1815.74,0
20053,21,F,Master,Single,3,Contract,9.5,Professional,170743.12,14228.59,728,1,234592.59298614794,30.0,0,1,31988.86,36,Medical,9.68,0.236,0.187,1027.39,0.072,114085.33,Apartment,7.0,100000.0,203.22,0
20054,43,Male,High School,Single,1,Salaried,2.6,Manager,20004.02,1667.0,442,3,27123.09,,0,0,15707.25,36,Other,10.53,1.356,0.785,510.75,0.306,224771.74,House,5.0,,5866.45,1
20055,62,M,Bachelor,Married,2,Salaried,4.1,Technician,73609.07,6134.09,759,0,80871.48,1.0,3,0,58968.26,24,Education,23.38,1.099,0.801,3099.5,0.505,96788.64,House,18.1,5045.89,523.45,0
20056,34,Female,Bachelor,Married,0,Self-Employed,1.6,Service,48124.05,4010.34,651,0,10006.45,3.1,2,0,13721.17,48,Debt Consolidation,7.54,0.208,0.285,332.02,0.083,50000.0,Apartment,10.0,340.53,8098.56,0
20057,27,Female,Bachelor,Married,1,Self-Employed,1.2,Professional,58245.61,4853.8,651,0,8936.84,19.1,2,0,11334.44,48,Business,20.0,0.153,0.195,344.91,0.071,,None,1.8,121.63,677.96,0
20058,61,Female,Bachelor,single,2,Unemployed,5.9,Professional,71282.9,5940.24,739,0,11467.93,11.2,1,0,10982.31,48,Debt Consolidation,6.02,0.161,0.154,258.02,0.043,198343.0,house,5.3,3540.07,500.11,0
20059,35,Other,Bachelor,Single,1,Salaried,3.6,Manager,136658.0,11388.17,793,1,12847.66,5.1,3,0,23640.38,24,Debt Consolidation,20.75,0.094,0.173,1211.88,0.106,231485.89,None,5.8,20680.87,8907.29,0
20060,49,M,Master,Single,0,Salaried,,Other,46136.84,3844.74,566,2,125037.52,24.5,0,0,27064.6,36,Home Improvement,7.37,2.0,0.587,840.26,0.219,128140.13,Apartment,1.0,11.36,7943.96,0
20061,56,Other,High School,Single,0,Contract,1.8,Service,26173.23,2181.1,732,4,18638.94,1.1,0,1,14365.37,60,Medical,8.29,0.712,0.549,293.28,0.134,108455.0,House,1.5,850.66,1083.05,0
20062,21,Female,masters,Married,1,Self-Employed,0.5,Service,54344.99,4528.75,671,2,79409.86,9.2,2,0,12590.52,48,Medical,14.61,1.461,0.232,347.92,0.077,416580.88,House,,11230.81,4063.84,1
20063,42,Male,Bachelor,Single,1,Salaried,4.2,Manager,52783.8,4398.65,665,2,722.24,5.0,3,1,52857.03,24,Business,12.57,0.014,1.001,2502.26,0.569,569584.57,House,,7430.14,123.7,0
20064,36,Female,Bachelor,single,2,Salaried,3.6,Sales,498521.15,41543.43,770,3,868.62,12.7,1,1,17963.55,36,Business,16.16,0.002,0.036,632.97,0.015,106783.3,House,4.6,157.44,15.45,0
20065,38,Male,Bachelor,Married,3,Self-Employed,3.8,Technician,34026.53,2835.54,813,2,93859.93,1.8,1,0,10133.69,48,Other,8.56,2.0,0.298,250.07,0.088,50000.0,House,3.8,2193.69,1555.14,1
20066,35,Female,Master,Married,0,Self-Employed,0.7,Clerical,54023.83,4501.99,562,1,14349.37,19.7,1,0,11419.69,48,Medical,5.03,0.266,0.211,263.14,0.058,204622.82,House,,6711.84,3881.15,0
20067,34,Female,Bachelor,Single,2,Salaried,9.7,Sales,36749.72,3062.48,691,2,28690.81,,2,0,19298.94,48,Education,7.75,0.781,0.525,468.88,0.153,52602.4,House,10.7,,8169.12,0
20068,26,Female,Master,Married,2,Salaried,0.4,Service,36614.83,3051.24,631,1,65787.22,8.9,1,0,5000.0,36,Home Improvement,10.68,1.797,0.137,162.94,0.053,,Apartment,0.8,25542.49,362.62,0
20069,45,Female,Master,Single,0,Salaried,7.6,Manager,46190.11,3849.18,556,0,199633.69,,4,0,26328.17,36,Debt Consolidation,7.52,2.0,0.57,819.21,0.213,104019.13,House,6.9,501.41,105.84,0
20070,44,Male,Bachelor,Single,2,Self-Employed,,Other,243475.07,20289.59,679,1,267999.93990135135,12.4,0,0,18146.12,48,Education,14.46,0.081,0.075,500.07,0.025,198590.47,House,0.5,96.7,354.02,0
20071,30,Other,Bachelor,single,0,Salaried,12.1,Other,56181.41,4681.78,560,2,2428.96,9.0,1,0,22126.31,48,Home Improvement,15.51,0.043,0.394,621.53,0.133,226701.97,Apartment,6.3,3503.39,1236.59,0
20072,23,M,High School,Single,0,Unemployed,3.0,Other,26623.38,2218.62,602,2,8027.84,8.7,0,2,49414.66,24,Medical,8.52,0.302,1.856,2246.63,1.0,242322.37,Apartment,1.8,1988.15,1804.1,0
20073,28,Female,PhD,Married,1,Unemployed,10.4,Technician,41466.67,3455.56,674,3,8243.25,6.1,1,0,59688.82,48,Debt Consolidation,8.91,0.199,1.439,1482.81,0.429,175990.35,Apartment,1.8,401.25,1465.1,0
20074,21,Male,High School,Single,1,Salaried,0.4,Manager,24712.85,2059.4,720,1,36034.01,1.5,5,1,16870.02,48,Debt Consolidation,11.93,1.458,0.683,443.67,0.215,339336.09,House,24.6,8406.53,2652.4,1
20075,38,Male,High School,Married,1,Self-Employed,6.1,Technician,125672.91,10472.74,688,3,2819.52,3.7,0,0,22407.9,12,Debt Consolidation,6.63,0.022,0.178,1935.06,0.185,92241.47,House,1.0,6114.46,1492.24,0
20076,21,Female,Master,Single,2,Salaried,3.1,Clerical,20000.0,1666.67,559,2,13122.64,,1,0,81134.87,60,Business,12.83,0.656,2.0,1839.01,1.0,66367.38,House,5.4,98.35,150.69,0
20077,45,Male,Bachelor,Single,0,Salaried,3.2,Clerical,65428.62,5452.38,723,1,8335.22,2.2,1,0,7454.81,24,Home Improvement,11.63,0.127,0.114,349.64,0.064,372426.35,Apartment,,1043.93,476.06,0
20078,45,Female,Bachelor,Divorced,3,Salaried,18.4,Manager,21506.26,1792.19,668,4,3096.41,11.2,2,1,37885.5,24,Home Improvement,10.54,0.144,1.762,1757.68,0.981,87483.32,Condo,4.8,9749.99,321.69,0
20079,27,Female,Bachelor,Divorced,1,Self-Employed,1.4,Service,151251.2,12604.27,820,1,430.7,3.7,1,0,41668.37,48,Home Improvement,12.73,0.003,0.275,1112.28,0.088,,House,5.4,1016.62,910.51,0
20080,21,Female,High School,Single,2,Self-Employed,7.7,Sales,122762.71,10230.23,733,1,23792.23,7.3,1,0,13495.29,36,Home Improvement,21.67,0.194,0.11,513.09,0.05,112821.33,Condo,15.7,8533.44,13403.22,0
20081,34,Male,Master,Married,0,Unemployed,3.9,Service,24859.68,2071.64,646,1,61370.06,5.7,0,0,77929.83,36,Other,20.83,2.0,2.0,2929.21,1.0,360999.93,None,,75763.91,974.44,0
20082,47,Female,High School,Married,2,Salaried,2.6,Clerical,84540.32,7045.03,772,1,8488.86,3.3,1,1,54058.73,36,Home Improvement,17.68,0.1,0.639,1945.69,0.276,315975.14,House,5.8,100000.0,2209.32,0
20083,38,Female,Bachelor,Single,0,Salaried,2.1,Professional,230160.72,19180.06,721,0,512.54,5.4,1,0,16224.69,36,Business,22.36,0.002,0.07,622.65,0.032,82571.2,House,0.0,9785.37,1506.05,0
20084,46,Male,bachelor,Single,0,Self-Employed,0.7,Sales,42471.14,3539.26,651,0,34165.02,3.1,1,0,16514.67,36,Education,10.57,0.804,0.389,537.31,0.152,185767.46,Apartment,10.9,501.21,32.88,0
20085,32,Male,Bachelor,Single,2,Contract,15.5,Technician,65299.29,5441.61,719,0,1137.46,4.6,3,0,35387.34,24,Debt Consolidation,9.79,0.017,0.542,1629.52,0.299,173487.66,House,3.0,1765.36,90.42,0
20086,23,Female,Bachelor,single,0,Salaried,0.5,Service,190882.06,15906.84,672,0,25037.25,24.5,0,0,22888.17,36,Education,10.63,0.131,0.12,745.33,0.047,108683.99,Apartment,1.0,5759.1,1429.31,0
20087,54,Male,Bachelor,Married,0,Unemployed,0.9,Technician,23653.23,1971.1,643,3,6759.76,8.1,2,1,26067.03,24,Debt Consolidation,19.65,0.286,1.102,1322.25,0.671,71889.12,House,8.8,47.56,3357.17,0
20088,34,Male,Bachelor,Married,2,Salaried,6.3,Service,84296.81,7024.73,728,1,154851.14,5.9,1,0,15192.24,60,Home Improvement,8.01,1.837,0.18,308.12,0.044,86034.76,Apartment,,6277.16,172.09,0
20089,52,F,bachelor,Single,0,Salaried,27.7,Other,48605.79,4050.48,723,2,37498.77,5.2,1,1,31139.88,48,Medical,18.62,0.771,0.641,924.85,0.228,75573.82,Apartment,6.4,18158.16,531.05,0
20090,56,M,Bachelor,Divorced,0,Salaried,3.4,Clerical,41243.55,3436.96,662,3,11006.67,8.7,1,0,23084.24,12,Debt Consolidation,16.93,0.267,0.56,2104.63,0.612,339239.82,House,1.0,47.59,811.73,0
20091,56,Male,Bachelor,Married,1,Salaried,0.1,Clerical,45324.19,3777.02,663,1,17567.58,1.8,0,0,31594.94,36,Medical,8.67,0.388,0.697,999.87,0.265,170544.62,Apartment,3.1,7893.99,4131.36,0
20092,55,M,High School,Married,1,Unemployed,1.2,Professional,20000.0,1666.67,785,0,4111.46,13.4,1,0,48366.19,36,Debt Consolidation,20.15,0.206,2.0,1801.16,1.0,148242.66,None,,17606.54,1342.69,0
20093,33,Female,PhD,Married,0,Self-Employed,2.7,Clerical,33157.24,2763.1,498,1,723.45,5.2,3,0,19352.28,36,Debt Consolidation,23.56,0.022,0.584,754.78,0.273,90512.01,None,11.4,12141.5,1894.24,1
20094,31,M,Master,Single,2,Salaried,15.8,Other,20000.0,1666.67,634,0,445.82,1.0,0,0,25724.03,48,Debt Consolidation,23.54,0.022,1.286,832.12,0.499,238664.03,house,8.4,1363.35,4316.52,0
20095,25,Female,Bachelor,Divorced,2,Self-Employed,0.7,Service,166383.44,13865.29,457,2,6848.51,7.7,2,1,31718.56,36,Medical,7.94,0.041,0.191,993.07,0.072,69773.73,Apartment,3.0,5987.12,9070.64,0
20096,23,Male,High School,Single,3,Salaried,11.6,Technician,91035.22,7586.27,569,1,643.52,3.8,1,1,10450.54,48,Medical,18.85,0.007,0.115,311.65,0.041,186594.73,Apartment,3.4,626.82,29.03,1
20097,21,M,High School,Divorced,0,Self-Employed,1.5,Professional,20000.0,1666.67,697,1,12719.59,4.6,1,0,26455.18,24,Debt Consolidation,18.05,0.636,1.323,1321.39,0.793,115573.32,House,,617.33,1738.13,0
20098,41,Other,Master,Single,2,Contract,0.1,Manager,20000.0,1666.67,717,3,6115.29,2.2,1,1,30568.87,24,Debt Consolidation,22.18,0.306,1.528,1588.58,0.953,,Condo,5.6,733.64,13041.08,0
20099,53,M,Master,Single,0,Salaried,0.4,Service,20000.0,1666.67,788,0,773.21,9.4,3,0,10892.69,48,Home Improvement,12.62,0.039,0.545,290.17,0.174,699629.44,House,,9489.9,950.41,0
20100,46,Male,High School,Single,0,Salaried,4.0,Sales,25164.22,2097.02,712,1,2612.06,7.1,1,0,23008.18,36,Other,12.19,0.104,0.914,766.29,0.365,145572.93,Apartment,,13401.74,789.96,0
20101,23,Male,Bachelor,Married,4,Contract,,Sales,37329.19,3110.77,572,4,38121.0,,0,0,27604.55,24,Home Improvement,18.34,1.021,0.739,1382.67,0.444,138707.42,None,5.5,35926.09,1066.62,1
20102,54,Female,Bachelor,Divorced,1,Salaried,2.2,Other,225863.78,18821.98,649,0,39357.75,10.4,0,0,20060.68,12,Debt Consolidation,12.51,0.174,0.089,1787.16,0.095,139387.85,Condo,0.6,4291.87,3729.86,0
20103,33,Female,Bachelor,single,2,Salaried,2.8,Service,20000.0,1666.67,664,0,23256.26,4.6,1,0,22890.48,36,Business,16.67,1.163,1.145,812.35,0.487,167702.53,House,11.7,,5516.82,1
20104,36,Other,Bachelor,Married,3,Self-Employed,7.1,Sales,26396.01,2199.67,665,1,2873.05,1.8,1,0,23113.28,24,Home Improvement,24.79,0.109,0.876,1231.16,0.56,204825.89,Apartment,11.2,601.83,94.43,0
20105,42,F,High School,Married,1,Salaried,2.9,Professional,20000.0,1666.67,731,1,3034.92,5.3,0,0,34851.38,12,Debt Consolidation,14.17,0.152,1.743,3131.99,1.0,150295.26,House,,53250.92,12531.14,0
20106,60,Male,Master,Single,0,Salaried,12.0,Technician,20000.0,1666.67,593,1,6443.45,3.8,2,0,44575.35,48,Education,13.47,0.322,2.0,1206.27,0.724,126148.98,Condo,5.5,51.89,201.31,0
20107,51,Male,Master,Married,1,Salaried,19.8,Technician,33785.04,2815.42,667,1,713.51,2.4,1,0,8128.96,48,Debt Consolidation,20.99,0.021,0.241,251.68,0.089,168544.85,Apartment,1.1,9710.59,2631.65,0
20108,21,Female,Bachelor,Married,1,Salaried,4.6,Technician,61906.87,5158.91,591,1,1054.8,8.3,0,1,70270.47,36,Debt Consolidation,24.84,0.017,1.135,2788.0,0.54,374702.0,House,2.6,1546.07,306.22,0
20109,46,Female,Bachelor,Divorced,2,Salaried,0.2,Clerical,25293.94,2107.83,661,3,20046.4,26.5,0,0,39524.04,48,Debt Consolidation,9.01,0.793,1.563,983.75,0.467,196434.24,House,0.3,10755.03,118.22,0
20110,44,Male,Master,Married,1,Salaried,0.6,Other,22997.21,1916.43,689,1,94256.17,3.4,0,1,10574.02,48,Medical,24.54,2.0,0.46,347.9,0.182,116191.06,Apartment,30.0,2725.48,176.35,0
20111,42,Female,bachelor,single,0,Self-Employed,0.3,Professional,160128.14,13344.01,707,1,4142.14,2.4,1,0,106508.09516122295,24,Home Improvement,13.9,0.026,0.094,722.61,0.054,123642.59,Condo,3.1,100000.0,2457.3,0
20112,33,Female,Bachelor,Single,0,Self-Employed,5.8,Professional,174455.64,14537.97,674,0,2634.65,5.3,1,0,23174.04,48,Home Improvement,10.47,0.015,0.133,593.0,0.041,,Apartment,6.1,28112.49,647.08,0
20113,21,Male,Bachelor,Single,0,Salaried,1.0,Technician,90999.76,7583.31,640,3,35321.54,3.0,1,1,7149.17,24,Debt Consolidation,15.58,0.388,0.079,348.61,0.046,71743.37,Apartment,0.2,631.46,6291.64,0
20114,37,Male,Bachelor,Divorced,0,Contract,3.5,Sales,213832.2,17819.35,678,3,17056.58,3.8,1,0,7451.95,48,Debt Consolidation,20.69,0.08,0.035,229.51,0.013,,House,1.2,15809.77,102.63,0
20115,32,Male,Bachelor,Married,1,Salaried,1.1,Clerical,28576.17,2381.35,679,1,10278.35,3.6,2,0,25855.21,36,Debt Consolidation,5.14,0.36,0.905,776.53,0.326,241601.66,Condo,2.5,5036.83,609.65,1
20116,30,Male,High School,Married,1,Salaried,8.5,Clerical,45114.85,3759.57,814,2,76844.49,1.0,1,0,20092.73,48,Debt Consolidation,13.89,1.703,0.445,547.96,0.146,446778.93,None,6.7,11775.7,595.52,0
20117,27,Male,High School,Married,2,Self-Employed,3.0,Other,20588.0,1715.67,699,4,7447.34,3.6,2,0,17640.81,60,Debt Consolidation,8.11,0.362,0.857,358.62,0.209,242859.99,House,28.9,16040.85,201.43,0
20118,35,Male,Bachelor,Married,1,Salaried,24.4,Service,20000.0,1666.67,778,3,5438.32,18.4,2,0,29968.02,48,Debt Consolidation,21.31,0.272,1.498,932.98,0.56,126378.6,Condo,1.9,1185.46,363.07,0
