property_id,neighborhood,zip_code,distance_to_downtown_km,distance_to_school_km,distance_to_metro_km,property_type,year_built,property_age,lot_size_sqft,living_area_sqft,num_bedrooms,num_bathrooms,num_floors,num_rooms,overall_quality,overall_condition,has_garage,garage_size_cars,has_basement,basement_sqft,has_pool,has_fireplace,num_fireplaces,central_air,heating_type,roof_style,exterior_material,years_since_remodel,kitchen_quality,months_since_last_sale,sale_season,sale_type,school_rating,crime_rate_per_1000,sale_price
30039,Downtown,10003,4.9,1.3,1.6,Single Family,1968.0,56,13294,1238,4,1.5,2,5,10,6,1,2.0,1,541.0,0,0,0,Yes,Gas,Gable,Vinyl,36.0,Excellent,143,Winter,Normal,4.7,2.9,221382.87
30040,Suburb_East,10017,2.8,6.5,6.9,Condo,1984.0,40,12410,3267,5,2.0,1,8,8,7,1,2.0,1,941.0,1,0,0,Yes,Gas,Gable,Brick,20.0,Average,27,Fall,Normal,7.4,0.9,401581.67
30041,Suburb_East,10015,6.3,1.3,1.8,Single Family,1971.0,53,11018,1646,5,2.0,2,7,7,4,1,2.0,1,537.0,0,1,1,N,Electric,Gable,Vinyl,25.0,Good,1,Spring,Normal,7.6,1.7,77306.8
30042,Suburb_East,10019,11.1,4.4,1.7,Townhouse,1992.0,32,7376,1733,3,2.5,1,6,9,6,1,2.0,1,1226.0,0,0,0,Yes,Other,Hip,Brick,,Average,62,Summer,Normal,4.8,4.9,187251.49
30043,downtown,10001,14.9,5.5,4.3,Single Family,1987.0,37,25754,4922,3,1.5,2,5,5,2,1,2.0,1,1672.0,0,0,0,Yes,Gas,Mansard,Vinyl,1.0,Good,101,Fall,Normal,7.4,4.6,77993.99
30044,Downtown,10002,30.2,2.2,1.8,Condo,1946.0,78,5061,1682,3,1.5,2,4,5,5,1,0.0,1,667.0,0,0,0,No,Gas,Gable,Brick,18.0,Good,3,Winter,Short Sale,7.5,5.3,65008.41
30045,Suburb_South,10000,1.6,2.3,9.1,Multi-family,2000.0,24,3919,748,4,2.0,2,5,6,5,1,1.0,1,539.0,0,0,0,Yes,Electric,Gable,Vinyl,14.0,Good,97,Fall,Normal,9.1,2.8,84253.86
30046,Downtown,10003,10.0,3.4,7.9,Single Family,1969.0,55,15337,3148,3,3.0,2,4,7,9,1,2.0,0,0.0,0,0,0,No,Electric,Hip,Brick,7.0,Good,15,Winter,Normal,,18.2,414431.91
30047,Suburb_East,10007,1.5,3.2,1.9,Condo,1951.0,73,7397,1732,1,3.0,1,2,5,6,1,0.0,1,661.0,0,0,0,Yes,Gas,Gable,Wood,30.0,Good,2,Spring,Short Sale,1.6,2.0,59628.04
30048,Suburb_West,10019,9.7,4.5,1.5,Single Family,1979.0,45,11915,1249,3,1.0,1,6,9,7,1,,1,424.0,0,1,1,Yes,Gas,Gable,Brick,9.0,Good,15,Spring,Normal,9.1,7.8,235166.52
30049,Suburb_North,10006,42.1,1.4,2.1,Townhouse,2005.0,19,4892,2319,1,2.5,2,4,5,6,1,1.0,1,569.0,0,0,0,yes,Gas,Hip,Wood,,Average,30,Summer,Normal,7.8,12.7,154710.22
30050,Suburb_North,10009,6.9,1.5,5.0,Townhouse,1989.0,35,5824,1793,2,1.0,2,4,7,6,0,0.0,0,0.0,0,0,0,Yes,Oil,Gable,Brick,,Good,128,Spring,Normal,8.1,0.8,196794.16
30051,Suburb_South,10019,12.4,2.1,0.7,Single Family,1960.0,64,4519,4021,4,1.0,2,7,3,5,1,2.0,0,0.0,0,0,0,No,Gas,Hip,Wood,3.0,Fair,21,Spring,Normal,4.6,2.1,81002.75
30052,Suburb_North,10008,2.3,3.4,3.3,Condo,2008.0,16,27368,2413,4,1.5,2,6,6,4,1,1.0,1,1758.0,0,0,0,Yes,Gas,Mansard,Vinyl,22.0,Average,41,Spring,Foreclosure,,1.8,223660.07
30053,Suburb_West,10007,4.2,2.3,15.1,Single Family,1972.0,52,5762,2766,4,3.0,2,6,9,6,1,,1,362.0,0,0,0,Yes,Gas,Hip,Vinyl,31.0,Average,172,Summer,Normal,7.7,8.3,347989.23
30054,Suburb_South,10001,3.1,2.8,9.2,Single Family,1971.0,53,9404,1382,4,1.5,2,6,6,8,0,0.0,1,224.0,0,1,1,Yes,Electric,Gable,Vinyl,5.0,Average,61,Summer,Normal,10.0,10.6,111173.32
30055,Downtown,10002,18.0,1.1,12.7,Multi-family,2023.0,1,4065,2628,2,3.0,2,3,6,4,1,2.0,1,1007.0,0,1,1,Yes,Gas,Gable,Vinyl,6.0,Excellent,87,Winter,Normal,4.1,6.7,229953.52
30056,Suburb_North,10017,5.9,3.1,2.2,Single Family,2011.0,13,6047,1331,2,1.5,1,4,5,8,1,2.0,0,,0,1,2,Yes,Gas,Hip,Wood,3.0,Average,59,Winter,Normal,6.5,3.3,182799.63
30057,downtown,10019,32.4,2.5,5.2,Condo,1974.0,50,7451,1135,5,1.0,1,6,5,5,1,1.0,0,0.0,0,1,1,Yes,Gas,Gable,Vinyl,15.0,Excellent,82,Fall,Foreclosure,,3.6,73449.65
30058,Suburb_South,10010,7.3,4.5,8.6,Single Family,1962.0,62,4450,802,3,2.5,1,4,8,3,1,,1,457.0,0,1,1,Yes,Oil,Mansard,Stucco,1.0,Excellent,240,Fall,Normal,9.9,12.5,48887.09
30059,Suburb_North,10009,9.4,5.7,3.9,Single Family,2003.0,21,3348,2355,2,1.5,3,4,6,5,1,2.0,0,0.0,0,0,0,Yes,Gas,Mansard,Brick,6.0,Average,58,Spring,Foreclosure,6.5,7.2,210538.57
30060,Suburb_South,10012,7.3,3.0,2.5,Single Family,1980.0,44,3420,2413,3,3.0,2,5,6,7,0,0.0,1,902.0,0,0,0,Yes,Gas,Gable,Brick,0.0,Average,9,Summer,Normal,6.5,5.2,196527.16
30061,Suburb_West,10017,10.8,2.3,1.1,Single Family,1992.0,32,16867,1500,2,2.5,2,3,6,3,1,1.0,1,897.0,0,0,0,Yes,Gas,Gable,Brick,2.0,Average,16,Summer,Foreclosure,6.7,6.8,64880.16
30062,Suburb_East,10004,29.7,1.9,12.6,Townhouse,1995.0,29,13267,1219,5,2.5,2,6,6,6,1,1.0,1,556.0,0,1,1,Yes,Electric,Flat,Vinyl,9.0,Good,68,Winter,Foreclosure,9.6,2.2,112074.74
30063,Suburb_North,10000,2.5,1.2,2.6,Townhouse,1964.0,60,5486,3407,2,2.5,2,3,7,3,1,,0,0.0,0,0,0,Yes,Electric,Gable,Brick,23.0,Average,39,Fall,Normal,5.3,3.5,136128.92
30064,Suburb_South,10009,11.9,3.7,3.2,Single Family,1977.0,47,5105,3233,4,2.0,3,5,2,7,1,2.0,0,0.0,0,0,0,Yes,Oil,Hip,Wood,19.0,Good,8,Fall,Normal,5.3,3.6,102946.23
30065,Suburb_West,10007,8.2,3.0,6.5,Townhouse,1963.0,61,1822,1601,5,1.5,3,7,2,7,0,0.0,1,927.0,0,1,2,Yes,Gas,Mansard,Vinyl,24.0,Good,45,Winter,Normal,4.8,17.9,45039.98
30066,Rural,10008,35.8,5.4,2.5,Single Family,1980.0,44,4831,2729,2,2.0,2,3,8,6,1,3.0,1,,0,0,0,Yes,Gas,Flat,Brick,32.0,Average,19,Winter,Short Sale,10.0,11.5,201429.49
30067,Suburb_South,10001,4.1,2.5,8.9,Single Family,1993.0,31,9503,2717,1,2.5,1,4,4,4,1,2.0,1,,0,0,0,Yes,Gas,Gable,Vinyl,3.0,Average,5,Spring,Foreclosure,6.7,16.0,114758.83
30068,Rural,10005,4.9,3.4,8.3,Condo,,60,3216,1248,3,2.5,3,4,7,5,1,2.0,1,439.0,0,0,0,Yes,Electric,Gable,Vinyl,0.0,Excellent,42,Fall,Normal,3.1,13.4,86386.86
30069,Suburb_North,10016,11.0,5.6,3.7,Single Family,1979.0,45,5228,1652,4,2.0,2,5,3,6,1,1.0,0,0.0,0,0,0,Yes,Gas,Gable,Vinyl,8.0,Average,207,Spring,Foreclosure,5.1,1.4,65964.95
30070,Rural,10003,7.9,3.4,11.2,Townhouse,2005.0,19,16249,1628,2,2.0,2,5,8,8,1,2.0,0,,0,1,2,Yes,Gas,Hip,Vinyl,5.0,Fair,30,Fall,Normal,4.5,8.7,173905.46
30071,Rural,10008,17.1,1.0,3.6,Multi-family,2014.0,10,32910,884,3,2.0,1,4,7,6,1,1.0,0,0.0,0,0,0,Yes,Oil,Gable,Brick,15.0,Excellent,20,Summer,Foreclosure,9.0,7.5,88303.23
30072,downtown,10005,3.0,2.8,5.3,Multi-family,1939.0,85,5470,923,3,2.0,1,5,6,5,1,3.0,0,0.0,0,0,0,yes,Electric,Gable,Brick,49.0,Average,164,Spring,Normal,4.7,7.6,53489.7
30073,Suburb_South,10002,11.0,8.2,1.9,Single Family,1978.0,46,8134,2056,3,1.0,2,4,4,4,0,,1,1414.0,0,0,0,Yes,Oil,Gable,Brick,16.0,Good,77,Summer,Normal,7.3,3.5,66060.68
30074,Suburb_West,10003,34.8,9.6,5.2,Single Family,2023.0,1,7345,1874,3,3.0,1,6,5,8,1,2.0,1,162.0,0,1,1,Yes,Gas,Hip,Vinyl,1.0,Average,60,Spring,Normal,8.2,2.6,348068.17
30075,Suburb_West,10002,9.0,1.5,2.5,Townhouse,,29,8093,3512,3,2.5,2,4,3,6,1,1.0,1,2319.0,0,0,0,Yes,Electric,Hip,Wood,5.0,Average,65,Summer,Normal,9.6,6.8,238174.57
30076,Rural,10017,1.8,2.2,5.3,Single Family,1963.0,61,4411,2190,3,1.0,2,6,6,7,0,0.0,1,1603.0,0,0,0,Yes,Gas,Hip,Vinyl,24.0,Good,81,Fall,Normal,6.5,1.6,97052.74
30077,suburban,10018,14.1,0.8,2.0,Multi-family,2009.0,15,25580,2662,4,3.0,2,5,2,6,1,1.0,0,,0,0,0,Yes,Gas,Gable,Wood,16.0,Good,8,Fall,Normal,8.4,5.2,85319.6
30078,Suburb_West,10012,3.6,2.3,5.4,Condo,1982.0,42,40649,1477,6,2.0,2,8,10,8,1,3.0,0,0.0,0,1,2,Yes,Gas,Hip,Stucco,8.0,Average,13,Summer,Normal,9.8,2.5,389679.14
30079,Downtown,10006,10.1,2.9,6.5,Single Family,1978.0,46,4401,1252,2,1.5,1,4,4,5,0,0.0,1,216.0,0,1,1,Yes,Electric,Gable,Stone,3.0,Average,28,Spring,Normal,5.7,17.5,50693.1
30080,Suburb_South,10012,12.8,2.6,1.1,Condo,2020.0,4,1923,927,1,1.5,1,2,8,5,1,1.0,0,0.0,0,0,0,Yes,Gas,Gable,Brick,34.0,Fair,85,Winter,Normal,6.4,5.1,101750.01
30081,Suburb_North,10013,3.3,3.8,1.3,Condo,1999.0,25,5777,3128,5,2.5,1,8,6,2,1,2.0,0,0.0,0,0,0,Yes,Gas,Gable,Stucco,33.0,Good,6,Summer,Normal,6.7,7.1,91788.36
30082,Suburb_East,10009,48.7,2.1,3.0,Townhouse,1988.0,36,15287,1351,3,2.5,1,4,7,5,1,1.0,1,480.0,1,1,1,Yes,Gas,Gable,Stone,3.0,Good,56,Fall,Short Sale,,2.7,131633.09
30083,Suburb_South,10007,2.5,11.5,2.5,Multi-family,,87,12627,3348,4,2.5,2,6,5,6,1,1.0,1,1016.0,0,0,0,Yes,Gas,Mansard,Brick,28.0,Good,49,Summer,Normal,8.2,3.6,151931.83
30084,Suburb_South,10018,5.8,0.8,14.1,Condo,2017.0,7,1765,3497,2,1.5,2,5,4,9,0,0.0,1,1719.0,0,0,0,Yes,Gas,Hip,Wood,24.0,Average,40,Spring,Normal,9.2,17.5,311241.39
30085,suburban,10008,2.0,6.3,1.2,Condo,1993.0,31,16160,3489,6,3.0,1,9,7,6,1,1.0,0,0.0,0,0,0,Yes,Gas,Hip,Brick,12.0,Average,9,Winter,New,7.5,0.6,367284.86
30086,Suburb_East,10012,4.4,3.7,3.4,Single Family,1973.0,51,8169,2454,1,2.5,2,3,5,2,1,1.0,0,0.0,0,1,1,Yes,Gas,Mansard,Wood,41.0,Good,183,Fall,Normal,9.0,6.8,57819.06
30087,Suburb_West,10018,4.0,3.2,3.7,Townhouse,1969.0,55,4290,2173,4,2.0,1,7,8,4,1,1.0,1,1700.0,0,0,0,Yes,Gas,Flat,Stucco,13.0,Good,9,Fall,Normal,6.6,3.7,133324.37
30088,Rural,10006,2.9,2.6,2.9,Townhouse,1978.0,46,4738,2022,3,2.0,2,4,5,5,1,2.0,1,1103.0,0,0,0,Yes,Electric,Flat,Stucco,3.0,Fair,4,Fall,Normal,5.0,1.1,960542.4612982062
30089,Suburb_North,10017,6.2,1.0,2.6,Single Family,2007.0,17,17344,1560,3,4.0,3,5,6,6,1,1.0,1,1209.0,0,1,2,Yes,Other,Gable,Brick,2.0,Average,107,Summer,Normal,10.0,5.2,218824.33
30090,Suburb_West,10019,9.4,0.9,2.1,Condo,1985.0,39,15546,1667,2,3.0,2,4,3,7,1,1.0,1,1158.0,0,1,1,N,Gas,Gable,Vinyl,30.0,Good,24,Fall,Normal,,4.6,104282.34
30091,Suburb_East,10009,5.4,6.6,2.7,Multi-family,1986.0,38,13005,3232,3,2.0,1,5,4,7,0,,1,2465.0,0,1,2,Yes,Electric,Gable,Vinyl,6.0,Good,91,Fall,Normal,8.0,2.2,178917.15
30092,Suburb_South,10004,10.8,2.4,1.4,Condo,1984.0,40,4507,2169,4,3.5,2,5,7,6,1,0.0,1,776.0,0,1,1,Yes,Gas,Hip,Wood,8.0,Good,11,Spring,Short Sale,,2.9,215279.15
30093,Suburb_South,10019,7.1,1.8,4.2,Townhouse,1943.0,81,6218,719,3,3.5,1,4,6,7,1,2.0,0,0.0,0,0,0,Yes,Electric,Flat,Wood,12.0,Average,40,Spring,Normal,6.0,7.8,59389.54
30094,Rural,10018,18.1,2.4,6.4,Single Family,,29,23004,1319,3,3.0,1,5,6,7,1,0.0,0,0.0,0,1,1,No,Gas,Gable,Vinyl,7.0,Fair,36,Summer,Short Sale,7.2,2.8,113374.71
30095,Rural,10011,2.5,4.0,8.3,Condo,1978.0,46,5574,2336,1,2.0,3,4,4,6,0,0.0,0,0.0,0,0,0,No,Gas,Gable,Brick,26.0,Good,17,Summer,New,,4.3,88148.04
30096,Suburb_North,10010,12.8,4.9,11.8,Condo,1962.0,62,7357,2803,3,2.0,1,4,8,7,0,0.0,0,0.0,1,0,0,Yes,Electric,Gable,Wood,12.0,Excellent,17,Spring,Normal,10.0,5.9,324918.37
30097,Rural,10010,3.4,2.6,3.1,Single Family,1967.0,57,8177,1321,4,3.0,1,6,7,5,1,0.0,1,972.0,0,1,2,Yes,Gas,Flat,Vinyl,22.0,Good,8,Spring,Foreclosure,3.3,1.8,503692.4945511742
30098,Downtown,10012,12.7,2.1,1.8,Single Family,1999.0,25,3354,2484,3,2.0,1,4,9,7,1,2.0,0,0.0,1,1,1,Yes,Gas,Hip,Vinyl,0.0,Good,34,Spring,Normal,8.4,3.0,614673.34
30099,Suburb_East,10008,9.5,1.9,5.4,Townhouse,1981.0,43,7080,978,4,1.0,2,6,7,6,0,,1,384.0,0,0,0,Yes,Oil,Flat,Stone,,Good,53,Summer,Normal,7.4,4.3,98623.13
30100,Suburb_South,10015,6.2,1.3,19.5,Condo,1994.0,30,7981,1511,3,1.5,2,5,2,7,1,1.0,1,980.0,0,0,0,No,Oil,Gable,Wood,34.0,Average,15,Spring,Normal,5.2,3.3,58145.8
30101,Suburb_East,10016,3.2,1.3,6.3,Condo,2006.0,18,9195,2843,4,2.5,3,7,7,7,0,0.0,1,,0,1,1,No,Gas,Gable,Vinyl,7.0,Average,103,Fall,Normal,6.2,5.6,309956.47
30102,Suburb_West,10013,9.4,2.6,5.8,Condo,2003.0,21,24587,2177,6,2.0,2,8,3,6,1,0.0,0,0.0,0,1,1,Yes,Gas,Hip,Vinyl,16.0,Good,4,Spring,Normal,6.5,4.9,104131.72
30103,Suburb_East,10008,4.7,1.3,2.3,Condo,,40,6195,2663,4,2.0,2,5,10,3,1,2.0,0,0.0,0,1,2,Yes,Other,Gable,Brick,16.0,Excellent,32,Winter,Normal,8.1,24.3,184556.15
30104,Suburb_West,10009,26.2,5.4,3.4,Single Family,1976.0,48,5847,2190,1,3.0,2,2,9,9,1,2.0,1,283.0,0,0,0,Yes,Gas,Flat,Wood,0.0,Average,15,Fall,Normal,9.9,5.3,364437.85
30105,Rural,10004,3.1,2.4,7.7,Single Family,2007.0,17,7684,1887,3,2.0,1,6,8,4,1,3.0,0,0.0,0,0,0,Yes,Electric,Gable,Brick,12.0,Fair,78,Winter,Normal,,4.3,177991.63
30106,Downtown,10019,5.3,1.0,9.8,Single Family,2023.0,1,6850,2600,3,2.0,1,6,5,6,1,,1,1508.0,0,0,0,Yes,Gas,Flat,Stucco,42.0,Good,14,Summer,Short Sale,7.4,2.4,464903.71
30107,Suburb_South,10019,20.8,2.7,4.2,Single Family,2021.0,3,8931,2608,3,2.0,3,5,7,6,1,1.0,1,1780.0,0,0,0,Yes,Gas,Hip,Brick,24.0,Fair,93,Winter,Normal,7.5,17.7,272151.8
30108,Suburb_South,10015,4.3,2.5,4.2,Single Family,2023.0,1,6589,2677,6,2.0,2,9,9,7,1,2.0,1,730.0,0,0,0,Yes,Oil,Gable,Vinyl,19.0,Good,3,Winter,Normal,3.4,3.8,558658.43
30109,Suburb_East,10001,3.4,3.2,8.4,Single Family,1965.0,59,16925,1300,5,3.0,2,8,6,7,1,3.0,1,868.0,0,1,2,N,Gas,Gable,Vinyl,6.0,Average,27,Spring,Normal,6.8,13.2,872008.4131175795
30110,Suburb_North,10006,1.3,6.1,7.6,Single Family,1981.0,43,6933,1602,4,3.0,1,6,7,3,1,,1,225.0,0,1,1,Yes,Gas,Gable,Vinyl,,Good,7,Fall,Normal,,3.6,80296.41
30111,Suburb_North,10017,22.8,6.7,8.8,Single Family,1976.0,48,10839,1579,3,3.0,2,6,8,6,1,3.0,1,692.0,0,0,0,Yes,Gas,Mansard,Wood,10.0,Excellent,11,Fall,Normal,10.0,20.5,173541.29
