customer_id,age,gender,state,city_tier,tenure_months,contract_type,payment_method,paperless_billing,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,monthly_charges,total_charges,avg_monthly_gb_download,customer_service_calls,late_payments,nps_score,satisfaction_score,churn
10027,50.0,Female,TX,Tier1,1.0,Two Year,Mailed Check,Yes,Yes,No,Fiber Optic,No,Yes,No,No internet,No,No,49.59,7647.713361347433,3.9,6,0,7.7,4.5,1
10028,,Female,FL,Tier3,49.0,Month-to-Month,Credit Card,Yes,Yes,No,Fiber Optic,No,Yes,No,No,No,Yes,37.49,1616.0,38.8,2,2,8.7,2.9,0
10029,40.0,Female,PA,Tier3,20.0,Month-to-Month,Electronic Check,No,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,43.05,822.1,5.3,0,0,6.0,4.4,0
10030,35.0,Female,NY,Tier2,,One Year,Credit Card,Yes,No,No phone service,Fiber Optic,Yes,No,No,No internet,No,Yes,37.84,474.61,8.2,0,0,,3.0,0
10031,72.0,Male,NY,Tier2,2.0,Month-to-Month,Credit Card,Yes,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,27.52,128.4,80.9,3,2,10.0,5.0,0
10032,44.0,Female,PA,Tier1,70.0,Month-to-Month,Credit Card,Yes,Yes,Yes,DSL,No,No,No internet,No,No,No internet,29.73,1967.4,9.4,2,3,7.8,2.3,0
10033,29.0,female,CA,Tier2,18.0,Month-to-Month,Bank Transfer,Yes,Yes,No,DSL,No,No,No,No,Yes,Yes,33.82,423.89,7.7,3,2,6.3,3.7,0
10034,57.0,Female,CA,Tier1,7.0,One Year,Electronic Check,No,Yes,Yes,Cable,No,No,No internet,Yes,Yes,No internet,48.74,371.77,27.3,3,1,4.6,2.5,0
10035,,Male,IL,Tier2,10.0,Two Year,Bank Transfer,Yes,Yes,No,DSL,No,Yes,No,Yes,No internet,No,34.51,396.79,,0,0,7.8,4.7,0
10036,48.0,F,CA,Tier2,7.0,One Year,Bank Transfer,No,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,21.92,265.23,740.5,0,0,7.0,5.0,0
10037,18.0,F,MI,tier1,22.0,Two Year,Bank Transfer,No,Yes,No,Cable,No,No,Yes,No,No,Yes,48.91,1176.34,111.5,1,1,5.7,3.8,0
10038,25.0,Male,GA,Tier2,63.0,One Year,Credit Card,No,Yes,No phone service,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,42.09,2666.34,109.3,2,2,5.0,5.0,0
10039,47.0,Male,TX,Tier3,46.0,Month-to-Month,Mailed Check,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,55.55,,19.4,1,1,4.9,4.3,0
10040,56.0,male,PA,Tier2,,Month-to-Month,Credit Card,Yes,No,Yes,DSL,Yes,Yes,No,No,No,No,36.25,459.24,933.8,0,3,7.1,5.0,0
10041,47.0,female,MI,tier1,42.0,One Year,Electronic Check,No,Yes,Yes,Fiber Optic,Yes,No internet,Yes,No,Yes,No internet,68.81,2865.72,27.1,2,0,8.0,4.3,0
10042,43.0,Other,MI,Tier2,13.0,Month-to-Month,Bank Transfer,No,Yes,No,DSL,No internet,No,Yes,No,No,Yes,30.41,303.79,19.0,1,1,8.0,5.0,0
10043,40.0,M,IL,Tier2,6.0,Month-to-Month,Electronic Check,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No internet,Yes,No,34.1,312.7,35.7,4,1,10.0,5.0,0
10044,22.0,Female,MI,Tier3,72.0,One Year,Bank Transfer,Yes,Yes,No,Fiber Optic,Yes,No,No internet,No internet,No,Yes,38.85,2899.99,29.9,2,1,8.5,3.0,0
10045,34.0,Female,FL,Tier1,8.0,One Year,Electronic Check,No,Yes,Yes,Fiber Optic,No internet,No internet,Yes,No internet,No,No internet,48.48,248.24,2.8,1,3,9.2,3.0,0
10046,38.0,Male,CA,Tier1,9.0,Month-to-Month,Electronic Check,Yes,Yes,No,Fiber Optic,No,Yes,Yes,Yes,No,No internet,34.48,7204.633467148705,,1,1,7.0,3.3,0
10047,60.0,Male,NY,Tier1,72.0,Two Year,Electronic Check,No,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,45.32,3469.26,35.5,2,0,4.2,2.9,0
10048,50.0,Female,FL,Tier3,3.0,One Year,Credit Card,Yes,No,No phone service,Fiber Optic,No,No,No,No,Yes,No,55.64,283.21,6.1,2,2,6.2,4.1,1
10049,18.0,Female,TX,Tier1,34.0,One Year,Electronic Check,Yes,Yes,Yes,Fiber Optic,No,No,No internet,No,No,No,30.54,1057.18,53.1,3,2,10.0,5.0,0
10050,49.0,Female,TX,Tier3,65.0,annual,Electronic Check,Yes,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,53.2,3567.59,21.2,1,0,5.3,4.0,0
10051,39.0,male,TX,Tier2,17.0,Month-to-Month,Bank Transfer,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,39.57,837.63,,3,1,7.2,3.2,0
10052,34.0,Male,CA,Tier1,1.0,One Year,Bank Transfer,Yes,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,No,48.31,57.77,16.7,5,1,7.1,3.7,0
10053,54.0,Female,MI,Tier2,11.0,Two Year,Bank Transfer,No,Yes,Yes,Fiber Optic,No internet,Yes,No,Yes,No internet,Yes,43.25,340.06,41.4,0,3,,1.5,0
10054,60.0,Male,TX,Tier1,,One Year,Bank Transfer,No,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,35.58,157.13,,2,0,8.1,2.4,0
10055,58.0,Female,PA,Tier2,12.0,Two Year,Credit Card,No,Yes,No,No,Yes,No,No,Yes,No,Yes,37.95,546.55,724.5197561749993,0,0,,3.2,0
10056,32.0,male,NY,Tier3,37.0,Month-to-Month,Bank Transfer,No,Yes,No,No,Yes,No,No internet,Yes,No,No,34.59,1179.26,6.0,1,0,6.7,4.0,0
10057,,Female,MI,Tier2,13.0,One Year,Credit Card,Yes,Yes,Yes,DSL,No,No,No,Yes,Yes,No internet,23.85,336.1,32.0,2,2,,3.3,0
10058,49.0,Other,IL,Tier1,13.0,Month-to-Month,Credit Card,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,68.13,806.62,6.2,3,1,6.2,3.7,0
10059,59.0,Male,CA,Tier3,,annual,Bank Transfer,No,Yes,Yes,DSL,No internet,Yes,No,Yes,No,No internet,44.62,,,0,0,7.0,3.3,0
10060,37.0,Female,GA,Tier3,20.0,Two Year,Electronic Check,Yes,Yes,No,DSL,No internet,No,Yes,No,Yes,Yes,40.12,824.47,35.9,4,3,7.3,3.1,0
10061,42.0,Male,FL,Tier3,46.0,Two Year,Bank Transfer,Yes,Yes,No,No,No,No,Yes,No internet,Yes,Yes,36.12,1806.73,10.1,2,3,5.6,2.4,0
10062,,Female,NC,Tier3,8.0,One Year,Credit Card,no,Yes,No,DSL,No internet,No internet,No,No,Yes,Yes,41.96,367.8,28.1,2,1,,3.9,0
10063,27.0,female,FL,Tier1,41.0,Month-to-Month,Electronic Check,Yes,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,29.31,1219.4,10.3,2,3,8.5,3.0,0
10064,57.0,Female,TX,Tier3,20.0,Month-to-Month,Electronic Check,No,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,28.04,427.54,,1,1,6.4,3.6,1
10065,65.0,M,NY,Tier2,8.0,Two Year,Electronic Check,No,Yes,No,No,No,No,No,No,Yes,No internet,33.69,332.35,9.3,2,4,7.0,2.9,0
10066,43.0,Male,IL,Tier1,8.0,Month-to-Month,Bank Transfer,Yes,Yes,Yes,DSL,Yes,Yes,No internet,No internet,No internet,Yes,22.59,125.37,36.4,2,3,3.5,4.1,1
10067,60.0,M,MI,Tier3,10.0,Month-to-Month,Mailed Check,Yes,Yes,Yes,DSL,Yes,No internet,No,Yes,Yes,No,23.34,155.6,154.6,1,2,6.5,3.6,1
10068,50.0,Male,PA,tier1,23.0,One Year,Credit Card,yes,Yes,No,DSL,No,No,Yes,No,Yes,No,22.97,616.53,3.1,4,1,8.4,3.8,0
10069,,M,OH,Tier3,6.0,Month-to-Month,Electronic Check,Yes,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,55.68,5385.718310866326,7.1,2,1,7.6,2.7,1
10070,50.0,Male,FL,Tier1,60.0,One Year,Electronic Check,Yes,Yes,No,DSL,No internet,No,No,No internet,No,No internet,24.31,1437.42,7.5,1,3,6.2,2.7,0
10071,68.0,Male,OH,Tier1,20.0,One Year,Bank Transfer,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,33.16,548.41,32.0,2,2,5.9,3.8,0
10072,44.0,Female,MI,Tier2,60.0,One Year,Electronic Check,No,Yes,Yes,DSL,No,No,Yes,No,Yes,No,38.18,2260.85,70.6,1,1,6.6,2.1,0
10073,68.0,F,NY,Tier3,1.0,Two Year,Mailed Check,No,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,53.82,0.0,1.5,1,0,7.7,4.4,0
10074,18.0,Male,OH,Tier1,10.0,Month-to-Month,Bank Transfer,No,Yes,No,No,No,Yes,No internet,Yes,No,Yes,26.03,314.46,15.3,3,1,7.7,3.4,0
10075,57.0,Female,FL,Tier3,1.0,Month-to-Month,Bank Transfer,No,Yes,No,Fiber Optic,No,No,No,No,Yes,No internet,66.2,105.22,21.0,0,2,8.1,2.5,1
10076,,female,GA,Tier1,7.0,Month-to-Month,Credit Card,No,Yes,No,DSL,Yes,No,Yes,No,No,No,26.93,406.19,75.4,1,1,8.6,2.0,1
10077,40.0,Female,NC,Tier3,,monthly,Bank Transfer,Yes,Yes,Yes,Fiber Optic,No internet,Yes,Yes,No internet,No internet,No,62.76,2973.95,,1,1,7.2,4.5,0
10078,46.0,Male,OH,tier1,1.0,Month-to-Month,Credit Card,No,Yes,Yes,No,No,Yes,No internet,No,Yes,Yes,33.25,0.0,,6,2,10.0,1.3,0
10079,18.0,Female,GA,Tier2,13.0,Month-to-Month,Bank Transfer,Yes,Yes,Yes,DSL,No,No internet,No,Yes,Yes,Yes,24.09,,31.2,2,1,8.3,4.0,0
10080,41.0,Female,GA,Tier2,3.0,One Year,Bank Transfer,Yes,Yes,No phone service,DSL,No,Yes,No,No,No,No,49.16,244.37,287.5,4,0,5.5,3.6,1
10081,50.0,F,TX,Tier3,12.0,Month-to-Month,Credit Card,No,Yes,Yes,DSL,No internet,Yes,No,No,Yes,No,37.96,586.19,539.6,2,1,7.7,4.1,0
10082,67.0,male,NC,Tier2,43.0,monthly,Credit Card,Yes,Yes,No,Fiber Optic,Yes,No,No internet,No,Yes,Yes,69.54,2794.14,66.3,3,3,8.1,2.4,0
10083,37.0,Female,PA,Tier3,23.0,Two Year,Mailed Check,No,Yes,No phone service,DSL,No,No,Yes,No internet,Yes,Yes,50.44,1090.01,13.6,2,2,8.5,2.8,0
10084,32.0,Other,FL,Tier2,32.0,One Year,Mailed Check,Yes,Yes,Yes,Fiber Optic,Yes,No internet,No,Yes,No,No internet,32.98,964.6,41.9,4,3,6.1,3.8,0
10085,37.0,Female,IL,Tier1,10.0,One Year,Bank Transfer,No,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No internet,63.5,787.86,48.0,1,2,3.1,3.6,0
10086,58.0,Male,MI,Tier3,69.0,Month-to-Month,Electronic Check,Yes,No,Yes,Fiber Optic,Yes,No internet,No,Yes,No internet,Yes,30.15,2160.9,44.3,3,1,,4.4,0
10087,49.0,Male,IL,Tier1,29.0,One Year,Electronic Check,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,49.32,6586.954659902343,37.7,2,1,6.8,3.5,0
10088,37.0,Female,OH,tier1,13.0,One Year,Bank Transfer,Yes,Yes,Yes,DSL,No,No,No internet,Yes,No internet,Yes,30.39,286.58,,1,0,2.8,4.9,0
10089,52.0,Male,NC,Tier1,13.0,Month-to-Month,Electronic Check,Yes,Yes,No,Fiber Optic,No,Yes,Yes,No,No,No,40.1,,97.0,7,3,6.4,3.6,1
10090,46.0,F,OH,Tier3,60.0,Month-to-Month,Electronic Check,Yes,Yes,Yes,Fiber Optic,No,No,No,No internet,No,Yes,59.8,3425.26,542.9,2,1,8.5,5.0,0
10091,59.0,male,NC,Tier1,20.0,Two Year,Electronic Check,No,No,Yes,Fiber Optic,No internet,No internet,No,Yes,No,No,52.65,942.77,1.3,1,1,4.9,5.0,0
10092,34.0,Male,FL,Tier2,29.0,Month-to-Month,Credit Card,No,Yes,Yes,DSL,No,Yes,Yes,No,No,No,33.2,975.15,141.1,1,0,4.8,5.0,0
10093,40.0,Female,MI,Tier2,12.0,One Year,Credit Card,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No internet,Yes,No internet,Yes,29.93,381.33,24.8,1,0,6.5,2.8,0
10094,39.0,male,MI,Tier3,6.0,Month-to-Month,Electronic Check,Yes,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,29.68,217.42,6.1,0,1,7.2,4.7,0
10095,23.0,F,FL,Tier2,30.0,Month-to-Month,Electronic Check,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,61.6,1782.97,2.6,2,0,5.8,3.5,0
10096,49.0,M,PA,Tier3,22.0,Two Year,Bank Transfer,Yes,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,53.31,1215.36,31.8,2,0,6.3,3.5,0
10097,48.0,Female,GA,Tier2,16.0,Month-to-Month,Mailed Check,No,No,No,DSL,Yes,No internet,No,Yes,Yes,No,49.96,799.82,,4,1,8.6,4.3,0
10098,45.0,male,NC,Tier3,23.0,One Year,Electronic Check,Yes,Yes,No,Fiber Optic,No,No,Yes,No internet,No,No internet,30.77,864.71,4.0,4,2,7.0,3.1,0
10099,41.0,Female,CA,Tier3,5.0,Month-to-Month,Electronic Check,No,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No internet,33.09,122.79,19.2,2,2,4.0,1.8,0
10100,,Female,CA,Tier1,37.0,Month-to-Month,Credit Card,Yes,No,Yes,Fiber Optic,No,No internet,Yes,No internet,No,No,49.81,1659.52,95.1,1,1,9.4,3.5,1
10101,38.0,Male,GA,Tier2,71.0,Two Year,Bank Transfer,Yes,Yes,No,Fiber Optic,No,Yes,Yes,No,No internet,No internet,51.65,3728.83,205.9,3,2,6.6,5.0,0
10102,39.0,Male,OH,Tier2,53.0,One Year,Bank Transfer,No,Yes,Yes,DSL,No,No,No,No internet,No,No,38.49,,24.3,1,4,5.2,3.2,1
10103,32.0,Female,NC,Tier2,9.0,Two Year,Bank Transfer,Yes,Yes,No,DSL,No internet,Yes,No,No,Yes,Yes,55.87,413.85,24.2,3,0,,3.4,0
10104,42.0,Male,NY,Tier2,12.0,Two Year,Bank Transfer,No,Yes,Yes,Fiber Optic,No internet,Yes,Yes,No internet,No,No internet,35.01,387.47,51.1,5,4,4.4,3.9,0
10105,51.0,Male,MI,Tier3,39.0,Two Year,Electronic Check,No,Yes,No phone service,Fiber Optic,No,No,No,No internet,No,Yes,35.24,1393.75,115.3,2,0,7.0,3.1,0
10106,73.0,male,IL,Tier1,21.0,Two Year,Electronic Check,No,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No internet,66.4,1356.46,1117.1504171151037,1,1,8.1,3.3,0
10107,,Male,NY,Tier3,19.0,Month-to-Month,Credit Card,Yes,Yes,Yes,No,No,No,Yes,No internet,Yes,No,45.83,759.73,34.0,5,1,5.9,3.6,1
10108,48.0,Female,IL,tier1,,Two Year,Bank Transfer,No,Yes,No,Fiber Optic,No,Yes,Yes,No,No,No,53.76,3313.15,11.0,1,1,6.4,3.1,0
10109,43.0,Female,MI,Tier2,18.0,Month-to-Month,Credit Card,No,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,36.07,737.69,15.9,5,2,5.8,4.8,0
10110,18.0,Other,CA,Tier2,17.0,Month-to-Month,Mailed Check,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,No,Yes,54.37,888.13,7.7,2,0,8.5,5.0,1
10111,44.0,Female,FL,Tier1,1.0,Month-to-Month,Bank Transfer,Yes,Yes,Yes,Fiber Optic,No,No internet,Yes,Yes,No,No,54.34,75.52,4.3,0,1,6.5,4.0,1
10112,45.0,Male,PA,Tier3,1.0,Month-to-Month,Bank Transfer,Yes,Yes,Yes,Fiber Optic,No internet,No,Yes,No,Yes,Yes,57.01,38.86,714.7660788153913,2,3,5.8,3.0,0
10113,81.0,Female,TX,Tier1,1.0,One Year,Electronic Check,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,No,Yes,46.3,0.0,5.5,1,2,7.3,4.0,0
10114,,female,OH,Tier2,58.0,Month-to-Month,Electronic Check,no,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,56.55,3269.26,5.0,1,2,6.4,2.4,0
10115,49.0,Other,GA,tier2,12.0,Month-to-Month,Bank Transfer,Yes,Yes,Yes,Fiber Optic,No,No,No internet,Yes,No,No,64.3,727.07,31.4,3,2,6.7,2.1,0
10116,44.0,Female,CA,Tier2,15.0,One Year,Electronic Check,No,Yes,Yes,Cable,No,Yes,No,No,Yes,No,38.24,649.45,39.3,4,0,5.4,3.4,0
10117,27.0,Male,FL,Tier3,44.0,Month-to-Month,Electronic Check,Yes,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,22.41,1109.57,10.7,2,0,8.2,4.8,0
10118,62.0,M,FL,Tier2,22.0,Two Year,Mailed Check,Yes,Yes,No,DSL,No,No,No,No,No,Yes,27.39,690.75,,2,0,6.2,4.9,0
10119,,Male,IL,Tier1,22.0,Month-to-Month,Bank Transfer,yes,Yes,Yes,DSL,No,Yes,No internet,No,No,No,48.92,1002.72,506.6,0,0,6.4,3.9,0
10120,56.0,Female,FL,Tier3,8.0,Month-to-Month,Electronic Check,Yes,Yes,Yes,DSL,No,No,No internet,Yes,Yes,Yes,40.9,210.92,10.4,0,2,7.4,4.2,0
10121,31.0,Female,NC,Tier1,43.0,Month-to-Month,Bank Transfer,No,Yes,No,DSL,No,No,No internet,Yes,No internet,Yes,25.98,965.77,8.2,1,2,10.0,3.7,0
10122,66.0,Male,OH,Tier3,4.0,Month-to-Month,Electronic Check,No,No,No,Cable,No,No internet,No,Yes,Yes,No,27.14,125.5,1.9,0,1,8.7,3.4,1
10123,,Male,TX,Tier1,,One Year,Electronic Check,No,Yes,Yes,Cable,No,No,No,No internet,No,No,20.87,,43.6,2,0,5.7,2.3,1
10124,53.0,Male,CA,Tier3,5.0,One Year,Credit Card,No,Yes,No phone service,Fiber Optic,No,No,No internet,No,Yes,No,37.51,76.26,307.6,2,1,4.5,4.7,1
10125,77.0,Female,NC,Tier1,7.0,Month-to-Month,Bank Transfer,No,Yes,No,Fiber Optic,No internet,Yes,No internet,No,No,No,64.48,647.55,15.2,2,1,7.6,3.1,0
10126,30.0,F,CA,Tier2,7.0,Month-to-Month,Electronic Check,No,Yes,Yes,DSL,No,No,Yes,No,No,No,29.86,257.64,11.9,4,4,5.8,4.3,0
10127,36.0,Male,PA,Tier2,,Month-to-Month,Electronic Check,Yes,Yes,No phone service,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,41.26,,30.4,2,0,,3.5,1
10128,46.0,female,TX,Tier2,5.0,monthly,Electronic Check,No,Yes,Yes,DSL,No,Yes,No internet,No,No internet,Yes,44.03,248.78,31.9,1,3,6.6,2.5,0
10129,37.0,Male,FL,Tier2,27.0,Month-to-Month,Mailed Check,yes,Yes,No phone service,Fiber Optic,Yes,Yes,No internet,Yes,No,Yes,56.32,1682.52,0.5,2,1,6.8,2.7,0
10130,21.0,Female,PA,Tier2,2.0,Two Year,Bank Transfer,Yes,Yes,Yes,DSL,No,No,No,No,No,No internet,49.04,81.38,,1,0,6.6,2.9,0
10131,46.0,Male,IL,Tier2,3.0,One Year,Credit Card,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,62.83,250.27,839.7138427002496,2,2,6.0,3.6,0
10132,29.0,F,PA,Tier2,17.0,Month-to-Month,Electronic Check,Yes,No,No,DSL,No internet,No,No,Yes,No internet,No,23.3,486.44,21.8,0,0,2.7,4.7,1
10133,52.0,male,NY,Tier2,61.0,annual,Credit Card,No,Yes,Yes,DSL,Yes,No,No,No,Yes,No,54.52,3511.49,17.1,2,0,7.4,4.2,0
10134,,Female,IL,Tier2,47.0,Two Year,Credit Card,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,59.51,2796.82,66.2,3,3,,2.7,0
10135,68.0,female,TX,Tier1,72.0,One Year,Bank Transfer,No,No,No,Fiber Optic,Yes,Yes,Yes,No,No,No,36.11,2723.38,55.4,1,0,5.1,2.2,1
10136,33.0,Female,OH,tier2,25.0,Month-to-Month,Electronic Check,No,Yes,Yes,DSL,No internet,No,No,Yes,Yes,No,30.62,,26.0,2,2,8.4,4.2,0
10137,40.0,Other,NY,Tier2,27.0,One Year,Mailed Check,No,Yes,No phone service,DSL,No,Yes,No,No,No,Yes,53.68,,64.0,2,0,7.6,5.0,0
10138,,male,CA,Tier1,23.0,Month-to-Month,Credit Card,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,28.36,694.54,68.8,4,0,7.2,4.5,1
10139,26.0,F,GA,Tier2,23.0,Month-to-Month,Electronic Check,Yes,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,29.51,754.26,3.5,0,0,7.4,5.0,0
10140,48.0,Female,GA,Tier3,3.0,Two Year,Electronic Check,No,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,164.03650767599598,0.85,3.6,1,0,8.5,3.0,0
10141,64.0,Male,NY,Tier1,18.0,Two Year,Credit Card,No,Yes,No,DSL,No internet,No,No,No,No,No,40.38,591.98,2.9,4,2,8.1,3.5,0
10142,20.0,Female,OH,Tier3,11.0,Month-to-Month,Mailed Check,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,46.05,441.93,2.1,3,2,3.8,4.8,0
10143,47.0,Male,NC,Tier2,14.0,Two Year,Bank Transfer,Yes,Yes,No,Fiber Optic,No,Yes,No,No,No,No internet,38.14,535.94,67.7,2,1,9.6,1.9,0
10144,48.0,Female,GA,Tier1,17.0,One Year,Credit Card,Yes,Yes,Yes,No,No,No,No,Yes,No internet,No,28.03,451.06,68.0,2,1,8.1,3.9,0
